80.06 	34.75 	24.44
74.37 	39.69 	29.31
70.00 	43.44 	33.38
68.75 	44.06 	34.06
70.37 	45.00 	34.00
75.94 	48.94 	32.75
85.87 	57.50 	27.94
93.87 	63.19 	19.37
100.00 	65.19 	17.87
105.19 	66.00 	18.44
108.25 	65.87 	20.94
109.56 	66.19 	21.06
109.94 	66.62 	20.62
109.75 	66.81 	21.06
109.44 	66.75 	21.69
109.06 	66.94 	21.94
109.00 	67.37 	21.31
108.94 	67.50 	19.94
108.81 	67.69 	19.44
108.81 	67.87 	19.06
108.69 	68.19 	18.62
108.19 	68.50 	18.25
108.19 	68.87 	18.12
108.31 	69.19 	18.06
108.37 	69.44 	18.06
108.44 	69.50 	17.94
108.19 	69.37 	17.75
108.12 	69.37 	17.56
107.69 	69.06 	17.69
107.56 	68.87 	17.81
107.44 	69.00 	17.94
107.06 	69.12 	17.69
106.87 	69.12 	18.31
107.31 	69.25 	17.94
107.50 	69.31 	17.62
107.62 	69.37 	16.81
107.62 	69.31 	16.69
107.87 	69.37 	16.56
107.62 	69.50 	16.75
